greenPpg,irPpg,wristTimeMSec
72923.79,821373.7,33157.42
77798.234,876598.2,33157.46
77722.734,876755.9,33157.5
77802.05,876943.3,33157.54
77790.21,877061.5,33157.582
77820.984,877405.6,33157.62
77808.625,877519.3,33157.66
77871.14,877566.25,33157.7
77830.08,877543.0,33157.74
77868.07,877736.75,33157.78
77887.69,877879.8,33157.82
77918.41,877900.44,33157.86
78008.016,877962.3,33157.9
78005.98,877970.06,33157.94
78011.17,878059.9,33157.98
78017.71,878079.0,33158.02
78005.7,877993.25,33158.06
77896.83,877875.6,33158.1
77907.11,877473.25,33158.14
77864.73,876554.5,33158.18
77831.67,875782.0,33158.22
77795.25,875238.56,33158.26
77803.51,875077.8,33158.3
77791.63,874752.4,33158.34
77781.0,874451.6,33158.38
77779.734,874190.75,33158.42
77764.5,873832.4,33158.46
77758.96,873611.1,33158.5
77775.83,873346.75,33158.54
77799.66,873264.75,33158.582
77821.96,873069.06,33158.62
77841.19,873027.0,33158.66
77857.38,872846.6,33158.7
77914.61,872814.44,33158.74
77907.484,872748.75,33158.78
77869.77,872722.0,33158.82
77830.516,872582.75,33158.86
77769.95,872226.1,33158.9
77712.84,871734.06,33158.94
77711.88,871412.7,33158.98
77697.56,871418.9,33159.02
77692.75,871626.7,33159.06
77694.945,871784.3,33159.1
77701.0,872075.75,33159.14
77685.74,872149.1,33159.18
77694.63,872314.0,33159.22
77733.35,872528.5,33159.26
77732.63,872892.75,33159.3
77741.766,873146.8,33159.34
77779.81,873383.0,33159.38
77816.44,873702.2,33159.42
77864.4,874107.2,33159.46
77840.086,874576.6,33159.5
77844.38,874932.75,33159.54
77774.445,875147.56,33159.582
77733.75,875084.4,33159.62
77678.945,875010.06,33159.66
77647.94,874925.75,33159.7
77661.18,874999.75,33159.74
77664.19,875227.2,33159.78
77679.31,875640.94,33159.82
77673.625,875948.6,33159.86
77659.94,876322.5,33159.9
77693.5,876539.56,33159.94
77714.79,876731.56,33159.98
77727.695,876941.2,33160.02
77749.01,877228.1,33160.06
77803.445,877453.94,33160.1
77845.62,877579.75,33160.14
77872.08,877884.2,33160.18
77923.75,878156.75,33160.22
77960.62,878452.25,33160.26
77944.94,878542.06,33160.3
77919.68,878351.94,33160.34
77866.11,877969.3,33160.38
77805.055,877260.75,33160.42
77767.96,876572.0,33160.46
77771.14,876198.06,33160.5
77743.266,876020.0,33160.54
77783.74,875936.9,33160.582
77783.695,875842.7,33160.62
77776.94,875727.1,33160.66
77796.42,875569.56,33160.7
77806.31,875318.9,33160.74
77810.266,875194.94,33160.78
77852.414,875147.0,33160.82
77877.7,875170.1,33160.86
77930.56,875286.3,33160.9
77942.58,875285.94,33160.94
